macro_f1,acc,roc_auc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/weight_decay,config/warmup_steps,config/batch_size,config/gradient_accumulation_steps,config/seed,logdir
0.6990336262036534,0.8218455743879473,0.8046307311122393,1755659004,,False,1,1da7fc18,2025-08-20_03-03-24,838.2950155735016,838.2950155735016,302029,jdm2-vm,10.140.0.2,838.2950155735016,1,0.0013660498413806984,0.0002222161689685355,956,8,16,4410,1da7fc18
0.6747168742236821,0.7902071563088512,0.7790751418807822,1755659791,,False,1,9c3e8c67,2025-08-20_03-16-31,776.2662401199341,776.2662401199341,309261,jdm2-vm,10.140.0.2,776.2662401199341,1,2.920326197902499e-05,0.0015346041619819762,184,4,4,2478,9c3e8c67
0.5154899138562248,0.6026365348399246,0.5775499708282503,1755660566,,False,1,c0f238d7,2025-08-20_03-29-26,764.394143819809,764.394143819809,317494,jdm2-vm,10.140.0.2,764.394143819809,1,1.942961556247278e-05,0.00011018594766073452,851,4,16,9362,c0f238d7
0.6948565854980958,0.8173258003766478,0.7845230608363578,1755661342,,False,1,371d5de9,2025-08-20_03-42-22,765.5406174659729,765.5406174659729,325493,jdm2-vm,10.140.0.2,765.5406174659729,1,6.058160291009221e-05,0.0012813945982767193,769,4,8,2170,371d5de9
0.5574985388377195,0.6387947269303201,0.6780831129666534,1755662190,,False,1,987e0e19,2025-08-20_03-56-30,837.6382100582123,837.6382100582123,331613,jdm2-vm,10.140.0.2,837.6382100582123,1,0.002786036413007346,0.00017256089618808692,556,8,16,6218,987e0e19
0.15499681731381285,0.18342749529190208,0.5139039378073452,1755662972,,False,1,5045f64b,2025-08-20_04-09-32,769.1627135276794,769.1627135276794,339784,jdm2-vm,10.140.0.2,769.1627135276794,1,0.001547586311138437,0.00046837593789108336,460,4,4,1688,5045f64b
0.6174053842393405,0.8214689265536723,0.8047732748888065,1755663751,,False,1,0a7a8017,2025-08-20_04-22-31,767.2559835910797,767.2559835910797,344846,jdm2-vm,10.140.0.2,767.2559835910797,1,0.00038720336206313894,0.00020145701354769757,727,4,8,8592,0a7a8017
0.5984171317119125,0.6632768361581921,0.7639707108056706,1755664529,,False,1,f536d58e,2025-08-20_04-35-29,766.6871802806854,766.6871802806854,352028,jdm2-vm,10.140.0.2,766.6871802806854,1,0.00048082306349307014,0.0017258110278688102,807,4,8,7307,f536d58e
0.15499681731381285,0.18342749529190208,0.48613631541859564,1755665373,,False,1,87aadcb5,2025-08-20_04-49-33,834.0726020336151,834.0726020336151,356573,jdm2-vm,10.140.0.2,834.0726020336151,1,0.004466358842588882,0.00010759847787686846,170,8,4,7115,87aadcb5
0.6574319840743198,0.8207156308851224,0.765165994832433,1755666148,,False,1,94e7a584,2025-08-20_05-02-28,764.7712507247925,764.7712507247925,364709,jdm2-vm,10.140.0.2,764.7712507247925,1,0.00019248671721527316,0.008629776712893786,980,4,16,2206,94e7a584
