,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,objective,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/num_train_epochs,config/learning_rate,config/weight_decay,config/lr_scheduler_type,config/warmup_steps,config/seed,config/per_device_train_batch_size,logdir
0,1.7220839262008667,0.01527331189710611,0.009328674681023674,36.4769,34.104,4.277,1.0,0.024601986578129783,1751837344,checkpoint_000000,True,False,1,f428e821,2025-07-06_21-29-05,644.4026548862457,644.4026548862457,31200,140-245-28-114,10.19.101.192,644.4026548862457,1,1,0.0009940259455788953,0.02188251173223349,polynomial,1014.7611673744833,52.36633305072672,12,f428e821
1,3.6639227867126465,0.0707395498392283,0.06627752832461178,36.4439,34.135,4.281,1.0,0.13701707816384007,1751837997,checkpoint_000000,True,False,1,224f053f,2025-07-06_21-39-58,647.0273125171661,647.0273125171661,35488,140-245-28-114,10.19.101.192,647.0273125171661,1,1,0.0005318440131389934,0.021896514438023273,cosine,1250.4750534863158,45.6963517701219,12,224f053f
2,4.672469139099121,0.06109324758842444,0.057121125661508065,36.4227,34.155,4.283,1.0,0.1182143732499325,1751838649,checkpoint_000000,True,False,1,33b0335e,2025-07-06_21-50-50,645.590437412262,645.590437412262,40382,140-245-28-114,10.19.101.192,645.590437412262,1,1,0.0003702860040629851,0.13011018658565715,cosine,948.4302148178223,65.89231382605021,12,33b0335e
3,1.6310744285583496,0.23392282958199356,0.1593843919793287,36.3941,34.181,4.286,1.0,0.39330722156132225,1751839295,checkpoint_000000,True,False,1,aecd202c,2025-07-06_22-01-36,639.6337406635284,639.6337406635284,44227,140-245-28-114,10.19.101.192,639.6337406635284,1,1,3.2482360453961127e-06,0.21360353715760125,cosine,1529.394835684072,8.292220414941475,12,aecd202c
4,3.929037094116211,0.17845659163987138,0.12663258083649775,36.4072,34.169,4.285,1.0,0.30508917247636913,1751839947,checkpoint_000000,True,False,1,163a31b0,2025-07-06_22-12-28,645.9183671474457,645.9183671474457,47638,140-245-28-114,10.19.101.192,645.9183671474457,1,1,0.00031210256398453754,0.09109977089424955,linear,857.9097932065162,4.342070831473677,12,163a31b0
5,2.047930955886841,0.21945337620578778,0.19042789937964794,36.4928,34.089,4.275,1.0,0.40988127558543574,1751840602,checkpoint_000000,True,False,1,fb3117bd,2025-07-06_22-23-23,648.6470503807068,648.6470503807068,50779,140-245-28-114,10.19.101.192,648.6470503807068,1,1,4.7614947887218364e-05,0.14830580358125262,cosine,1757.1458591115484,30.425606473084677,12,fb3117bd
6,2.022923469543457,0.17926045016077172,0.1086696578232472,36.4643,34.116,4.278,1.0,0.2879301079840189,1751841251,checkpoint_000000,True,False,1,719273cc,2025-07-06_22-34-12,642.6306617259979,642.6306617259979,53991,140-245-28-114,10.19.101.192,642.6306617259979,1,1,1.8791543340099384e-05,0.2261563663749384,polynomial,1970.4562542803485,49.621748624192676,12,719273cc
7,2.0442585945129395,0.20176848874598072,0.16939059075667012,36.4843,34.097,4.276,1.0,0.3711590795026508,1751841903,checkpoint_000000,True,False,1,d6e9a2b7,2025-07-06_22-45-04,645.3037967681885,645.3037967681885,57134,140-245-28-114,10.19.101.192,645.3037967681885,1,1,1.1172937165464528e-05,0.020969955595409817,cosine,166.1912545814232,32.57021578264001,12,d6e9a2b7
8,1.643265962600708,0.25562700964630225,0.163478289872313,36.4627,34.117,4.278,1.0,0.41910529951861525,1751842552,checkpoint_000000,True,False,1,6438d2d6,2025-07-06_22-55-53,643.4988236427307,643.4988236427307,60341,140-245-28-114,10.19.101.192,643.4988236427307,1,1,1.3560503484205094e-06,0.009750595351495594,cosine,828.8834272342748,60.241985671939645,12,6438d2d6
9,1.9465981721878052,0.1872990353697749,0.14967689108863347,36.4147,34.162,4.284,1.0,0.33697592645840835,1751843203,checkpoint_000000,True,False,1,cb6fac3c,2025-07-06_23-06-44,644.4390020370483,644.4390020370483,63480,140-245-28-114,10.19.101.192,644.4390020370483,1,1,1.5481640791903693e-05,0.022147545694002124,polynomial,1624.2104165317858,55.983149792014,12,cb6fac3c
10,2.116285562515259,0.18890675241157556,0.14419045521657384,36.4327,34.145,4.282,1.0,0.3330972076281494,1751843853,checkpoint_000000,True,False,1,9552c0f7,2025-07-06_23-17-33,644.1293079853058,644.1293079853058,66742,140-245-28-114,10.19.101.192,644.1293079853058,1,1,2.108975952139533e-05,0.22739608996516494,cosine,1787.935142101229,56.07782721844592,12,9552c0f7
11,2.7768898010253906,0.23311897106109325,0.18771357815292278,36.4564,34.123,4.279,1.0,0.420832549214016,1751844505,checkpoint_000000,True,False,1,fde4978f,2025-07-06_23-28-26,646.4358167648315,646.4358167648315,69974,140-245-28-114,10.19.101.192,646.4358167648315,1,1,0.0001095446942704984,0.1989685015090163,polynomial,1192.1789115890356,23.917834053888164,12,fde4978f
12,1.4951798915863037,0.3094855305466238,0.11817065684469,36.3679,34.206,4.29,1.0,0.42765618739131384,1751845157,checkpoint_000000,True,False,1,e30ea783,2025-07-06_23-39-17,644.805896282196,644.805896282196,73116,140-245-28-114,10.19.101.192,644.805896282196,1,1,0.0005102568945792329,0.2439540306661066,cosine,151.35266586181083,20.46670045111866,12,e30ea783
