,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,objective,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/num_train_epochs,config/learning_rate,config/weight_decay,config/lr_scheduler_type,config/warmup_steps,config/seed,config/per_device_train_batch_size,logdir
0,0.7196662425994873,0.5066548358473825,0.33627797408716137,38.9037,28.969,3.624,1.0,0.8429328099345439,1753205814,checkpoint_000000,True,False,1,19b17aa1,2025-07-22_17-36-55,228.78920221328735,228.78920221328735,23453,80-225-210-59,10.19.101.220,228.78920221328735,1,1,2.0555743302045366e-06,0.2209714272147316,cosine,396.13905325663006,98.15663564681407,16,19b17aa1
1,0.710611879825592,0.5066548358473825,0.33627797408716137,38.849,29.01,3.629,1.0,0.8429328099345439,1753206049,checkpoint_000000,True,False,1,d4a405a8,2025-07-22_17-40-49,226.94157314300537,226.94157314300537,24755,80-225-210-59,10.19.101.220,226.94157314300537,1,1,1.3504107004687574e-06,0.12019939943462125,cosine,1953.5829931353967,51.94576037951715,16,d4a405a8
2,0.7290921807289124,0.5066548358473825,0.33627797408716137,38.7746,29.065,3.636,1.0,0.8429328099345439,1753206283,checkpoint_000000,True,False,1,d940f6ce,2025-07-22_17-44-43,227.35592937469482,227.35592937469482,26042,80-225-210-59,10.19.101.220,227.35592937469482,1,1,4.028761988865017e-06,0.2028716427711701,polynomial,749.8028024799199,77.39739709352878,16,d940f6ce
3,0.7283051013946533,0.5066548358473825,0.33627797408716137,38.738,29.093,3.64,1.0,0.8429328099345439,1753206518,checkpoint_000000,True,False,1,9e2059b5,2025-07-22_17-48-39,227.30582070350647,227.30582070350647,27335,80-225-210-59,10.19.101.220,227.30582070350647,1,1,4.4479327714095106e-06,0.19256358340390914,linear,904.8076110627538,31.792783389710277,16,9e2059b5
4,0.6537615656852722,0.6202307009760426,0.5558776084442513,38.731,29.098,3.64,1.0,1.176108309420294,1753206752,checkpoint_000000,True,False,1,e91193af,2025-07-22_17-52-33,226.35341024398804,226.35341024398804,28642,80-225-210-59,10.19.101.220,226.35341024398804,1,1,5.404238620361666e-05,0.169156586210558,linear,887.7327360282272,40.129626161924506,16,e91193af
5,0.7009404897689819,0.5066548358473825,0.33627797408716137,38.7091,29.115,3.643,1.0,0.8429328099345439,1753206989,checkpoint_000000,True,False,1,32f1e805,2025-07-22_17-56-30,229.4605050086975,229.4605050086975,29928,80-225-210-59,10.19.101.220,229.4605050086975,1,1,1.2713662108799794e-05,0.11593244111909112,polynomial,668.7262357717153,37.1375639622292,16,32f1e805
6,0.4415881335735321,0.7950310559006211,0.7847766186375311,38.7557,29.08,3.638,1.0,1.5798076745381522,1753207226,checkpoint_000000,True,False,1,c570bed2,2025-07-22_18-00-27,229.22759342193604,229.22759342193604,31234,80-225-210-59,10.19.101.220,229.22759342193604,1,1,0.0008478500325728461,0.28222611023928834,cosine,551.7019512969973,18.101484089117935,16,c570bed2
7,0.8108198046684265,0.5084294587400178,0.34025875769256775,38.8106,29.038,3.633,1.0,0.8486882164325855,1753207459,checkpoint_000000,True,False,1,734350ce,2025-07-22_18-04-20,226.52480506896973,226.52480506896973,32678,80-225-210-59,10.19.101.220,226.52480506896973,1,1,0.00020151128000149947,0.07237859579619906,cosine,1084.29954318069,10.383259793661303,16,734350ce
8,0.5531080365180969,0.6610470275066548,0.6135782655838233,38.8217,29.03,3.632,1.0,1.274625293090478,1753207696,checkpoint_000000,True,False,1,ffd63482,2025-07-22_18-08-17,229.36846566200256,229.36846566200256,33964,80-225-210-59,10.19.101.220,229.36846566200256,1,1,9.20129475571304e-05,0.1718265512609554,cosine,314.714360637456,90.45403306211487,16,ffd63482
9,0.39611372351646423,0.7755102040816326,0.7622666176410507,38.8742,28.991,3.627,1.0,1.5377768217226833,1753207933,checkpoint_000000,True,False,1,6d11d63f,2025-07-22_18-12-13,228.9151964187622,228.9151964187622,35275,80-225-210-59,10.19.101.220,228.9151964187622,1,1,0.0008396972002884116,0.2014269626986562,cosine,1172.4915043227209,11.449466330937108,16,6d11d63f
10,0.7476566433906555,0.5066548358473825,0.33627797408716137,38.9124,28.962,3.624,1.0,0.8429328099345439,1753208168,checkpoint_000000,True,False,1,fc44cd01,2025-07-22_18-16-09,228.24641489982605,228.24641489982605,36585,80-225-210-59,10.19.101.220,228.24641489982605,1,1,7.835458032041804e-06,0.2916379207002311,polynomial,1356.8053377126012,26.131185894554797,16,fc44cd01
11,0.5341230630874634,0.8136645962732919,0.8060717797443462,38.734,29.096,3.64,1.0,1.619736376017638,1753208404,checkpoint_000000,True,False,1,0fe5cd05,2025-07-22_18-20-05,228.41220569610596,228.41220569610596,37875,80-225-210-59,10.19.101.220,228.41220569610596,1,1,0.0007590537892208137,0.2071085262424761,polynomial,247.17890012352277,73.97255659948473,16,0fe5cd05
12,0.6888113617897034,0.5350488021295474,0.3971588635454182,38.7009,29.121,3.643,1.0,0.9322076656749656,1753208638,checkpoint_000000,True,False,1,eb49f4f5,2025-07-22_18-23-59,227.31188344955444,227.31188344955444,39970,80-225-210-59,10.19.101.220,227.31188344955444,1,1,0.0001532179588092631,0.14142481476738405,polynomial,1450.7585601955132,39.24476907106948,16,eb49f4f5
13,0.7412266135215759,0.5199645075421473,0.36554480625769387,38.7078,29.116,3.643,1.0,0.8855093137998411,1753208877,checkpoint_000000,True,False,1,eb30477b,2025-07-22_18-27-58,232.28509783744812,232.28509783744812,41279,80-225-210-59,10.19.101.220,232.28509783744812,1,1,7.936010636630414e-05,0.2649624782721497,polynomial,557.4433970475768,21.689937820073478,16,eb30477b
14,0.6906776428222656,0.5128660159716061,0.3501034102809461,38.8217,29.03,3.632,1.0,0.8629694262525522,1753209115,checkpoint_000000,True,False,1,319d7356,2025-07-22_18-31-55,230.03309202194214,230.03309202194214,42592,80-225-210-59,10.19.101.220,230.03309202194214,1,1,5.6634742506008196e-05,0.12171906658618586,cosine,1210.698502602528,83.76425443826533,16,319d7356
15,0.7344968318939209,0.5066548358473825,0.33627797408716137,38.9759,28.915,3.618,1.0,0.8429328099345439,1753209351,checkpoint_000000,True,False,1,5c845f60,2025-07-22_18-35-51,228.9561710357666,228.9561710357666,43898,80-225-210-59,10.19.101.220,228.9561710357666,1,1,4.7372705551736015e-06,0.2290071359586841,cosine,1124.7829268344747,2.0239444202134083,16,5c845f60
16,0.7219322919845581,0.5066548358473825,0.33627797408716137,38.8064,29.042,3.633,1.0,0.8429328099345439,1753209586,checkpoint_000000,True,False,1,06a68e8f,2025-07-22_18-39-47,228.00282740592957,228.00282740592957,45211,80-225-210-59,10.19.101.220,228.00282740592957,1,1,0.000879830125492587,0.23145383162984598,linear,138.23811665758532,39.46611339826005,16,06a68e8f
17,0.7222368717193604,0.5066548358473825,0.33627797408716137,39.0109,28.889,3.614,1.0,0.8429328099345439,1753209820,checkpoint_000000,True,False,1,99cdc585,2025-07-22_18-43-40,226.8645899295807,226.8645899295807,46485,80-225-210-59,10.19.101.220,226.8645899295807,1,1,1.40950740500246e-06,0.14877712775762017,cosine,1140.093353347776,64.52617349647367,16,99cdc585
